seed,spot_microns,n_test_cells,n_test_spots,median_cells_per_spot,p95_cells_per_spot,fraction_spots_mixed_cell_type,fraction_cells_in_mixed_spots,density_source,n_available_cells,sample
0,55.0,2400,1244,1.0,5.0,0.3842443729903537,0.63625,embedding_manifest,12000,HSDX009
1,8.0,2400,2371,1.0,1.0,0.0092787853226486,0.01875,embedding_manifest,12000,HSDX009
1,16.0,2400,2179,1.0,2.0,0.0651675080312069,0.13125,embedding_manifest,12000,HSDX009
1,55.0,2400,1197,1.0,5.0,0.3868003341687552,0.6533333333333333,embedding_manifest,12000,HSDX009
2,8.0,2400,2341,1.0,1.0,0.017086715079026,0.0345833333333333,embedding_manifest,12000,HSDX009
2,16.0,2400,2099,1.0,2.0,0.0862315388280133,0.1716666666666666,embedding_manifest,12000,HSDX009
2,55.0,2400,1074,1.0,6.0,0.4208566108007449,0.70125,embedding_manifest,12000,HSDX009
3,8.0,2400,2368,1.0,1.0,0.0088682432432432,0.0179166666666666,embedding_manifest,12000,HSDX009
3,16.0,2400,2144,1.0,2.0,0.0862873134328358,0.1691666666666666,embedding_manifest,12000,HSDX009
3,55.0,2400,1103,2.0,6.0,0.4632819582955575,0.72,embedding_manifest,12000,HSDX009
0,8.0,2400,2382,1.0,1.0,0.0046179680940386,0.0095833333333333,embedding_manifest,12000,WMPP017
0,16.0,2400,2314,1.0,1.0,0.0246326707000864,0.05125,embedding_manifest,12000,WMPP017
0,55.0,2400,1855,1.0,2.0,0.1509433962264151,0.3,embedding_manifest,12000,WMPP017
1,8.0,2400,2377,1.0,1.0,0.0071518721076987,0.0141666666666666,embedding_manifest,12000,WMPP017
1,16.0,2400,2313,1.0,1.0,0.0259403372243839,0.0520833333333333,embedding_manifest,12000,WMPP017
1,55.0,2400,1742,1.0,3.0,0.1980482204362801,0.3720833333333333,embedding_manifest,12000,WMPP017
2,8.0,2400,2379,1.0,1.0,0.0046237915090374,0.0091666666666666,embedding_manifest,12000,WMPP017
2,16.0,2400,2317,1.0,1.0,0.0194216659473457,0.0395833333333333,embedding_manifest,12000,WMPP017
2,55.0,2400,1787,1.0,3.0,0.1471740346950195,0.29875,embedding_manifest,12000,WMPP017
3,8.0,2400,2381,1.0,1.0,0.0058798824023519,0.0116666666666666,embedding_manifest,12000,WMPP017
3,16.0,2400,2313,1.0,1.0,0.0220492866407263,0.04625,embedding_manifest,12000,WMPP017
3,55.0,2400,1806,1.0,3.0,0.1622369878183831,0.3191666666666666,embedding_manifest,12000,WMPP017
