encoder,species,organ,target,train_samples,seed,ratio,model,gene_set,n_train,n_test,n_shared_genes,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro,contrast
conch,human,skin,HSDX009_2,HSDX009,0,0.1,image,top50_hvg,1200,12000,541,50,0.3274874686356634,0.2750222007509796,-0.7449474864453077,0.3600491881370544,0.2378547191619873,0.3838019062369451,0.4538236984523627,0.874547551560895,0.664185625006629,0.3378375154034672,0.3234494327731117,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,0,0.1,image,top200_hvg,1200,12000,541,200,0.1517958854061726,0.1290012364981024,-0.4317660646070726,0.2164822816848755,0.1142702847719192,0.3603873872431055,0.1378142720916607,0.9651764770117108,0.5514953745516857,0.1069029445483915,0.1279375102942501,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,0,0.1,image,marker_hvg_overlap,1200,12000,541,176,0.1513364568681109,0.1301444080711587,-0.4153455321343658,0.2194395810365677,0.1158870011568069,0.3579990649699275,0.1360731986228555,0.965595603618646,0.5508344011207508,0.1053744430306525,0.126860601200184,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,0,0.1,train_mean,top50_hvg,1200,12000,541,50,9.637392892614116e-09,,-0.1151900511135318,0.3436506986618042,0.2126719206571579,0.1775758945159609,0.0,1.0,0.5,0.0,0.1086466666666666,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,0,0.1,train_mean,top200_hvg,1200,12000,541,200,-2.341888965862182e-08,,-0.047011994500317,0.2036270052194595,0.0883862078189849,0.2414192241386135,0.0,1.0,0.5,0.0,0.0451466666666666,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,0,0.1,train_mean,marker_hvg_overlap,1200,12000,541,176,-6.375725568709033e-09,,-0.0408186256846751,0.2062544077634811,0.0899232104420661,0.2328665751804268,0.0,1.0,0.5,0.0,0.0458058712121212,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,0,0.25,image,top50_hvg,3000,12000,541,50,0.3445628370996564,0.2897513773354633,-0.5411245641112328,0.3509160578250885,0.2315131276845932,0.4169835277698205,0.4787045240087482,0.8737153704497344,0.6762099472292412,0.3478980724585941,0.3307642462441046,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,0,0.25,image,top200_hvg,3000,12000,541,200,0.1683523492712993,0.1433546674407045,-0.2846326260571368,0.2100287228822708,0.1070268675684928,0.3918191833533157,0.141320512187635,0.9655556965283368,0.5534381043579858,0.1061958845757677,0.1339365220180024,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,0,0.25,image,marker_hvg_overlap,3000,12000,541,176,0.1682486662162277,0.1451000970304505,-0.2691876586785921,0.2122479528188705,0.108485423028469,0.3901658965049407,0.1377299082808831,0.9667029279538631,0.5522164181173731,0.1046941667496006,0.1329671181991774,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,0,0.25,train_mean,top50_hvg,3000,12000,541,50,-2.0267096669357446e-07,,-0.1946206940916818,0.3453292548656463,0.2167612314224243,0.1672556879111631,0.02,0.98,0.5,0.0046486964206805,0.1086466666666666,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,0,0.25,train_mean,top200_hvg,3000,12000,541,200,-2.496035458765533e-08,,-0.0744385502270199,0.2044733017683029,0.0906671434640884,0.2357439542972118,0.005,0.995,0.5,0.0011621741051701,0.0451466666666666,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,0,0.25,train_mean,marker_hvg_overlap,3000,12000,541,176,-8.303904147632934e-08,,-0.0605111002877536,0.2070234417915344,0.0920140370726585,0.2272224885722229,0.0056818181818181,0.9943181818181818,0.5,0.0013206523922387,0.0458058712121212,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,0,1.0,image,top50_hvg,12000,12000,541,50,0.3593048309721052,0.299093032152642,-0.3272799254395068,0.3397710919380188,0.2187282592058181,0.4274015839505173,0.460778216173186,0.8861678721082904,0.6734730441407383,0.3448230817882296,0.3387218251525191,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,0,1.0,image,top200_hvg,12000,12000,541,200,0.1873949040906154,0.1578710004995937,-0.1607562542200321,0.203296348452568,0.0989544168114662,0.4035399814609736,0.1340796753508397,0.9692419545815332,0.5516608149661866,0.1028081145923636,0.1416730294479414,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,0,1.0,image,marker_hvg_overlap,12000,12000,541,176,0.187139043795138,0.1597096077138966,-0.1547054368215454,0.2056982219219207,0.1004989594221115,0.4013531734545342,0.1307752442844993,0.9706133961857636,0.5506943202351315,0.1014563480168392,0.1404841275497433,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,0,1.0,train_mean,top50_hvg,12000,12000,541,50,-1.4778048509356268e-07,,-0.1597739182059012,0.3447456061840057,0.2144755274057388,0.1710628072647522,0.0,1.0,0.5,0.0,0.1086466666666666,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,0,1.0,train_mean,top200_hvg,12000,12000,541,200,-5.315636988800777e-08,,-0.0628879923196677,0.2041676640510559,0.0896940678358078,0.2378077990064712,0.0,1.0,0.5,0.0,0.0451466666666666,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,0,1.0,train_mean,marker_hvg_overlap,12000,12000,541,176,-4.737915545247808e-08,,-0.0523323023855756,0.206733152270317,0.0911899730563163,0.2290964274263172,0.0,1.0,0.5,0.0,0.0458058712121212,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,1,0.1,image,top50_hvg,1200,12000,541,50,0.312806618460454,0.2674376057413636,-0.7440031404048204,0.3584381639957428,0.2371925264596939,0.3902926181640568,0.4493783745653444,0.8773171458811521,0.6633477602232483,0.3276462558217589,0.3114946347571567,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,1,0.1,image,top200_hvg,1200,12000,541,200,0.1432540751982014,0.124233572148071,-0.4206670084584039,0.2155834138393402,0.1133025512099266,0.3633401910754819,0.1349778325889981,0.9659254363957558,0.5504516344923771,0.1025549086660456,0.1227178834283812,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,1,0.1,image,marker_hvg_overlap,1200,12000,541,176,0.1433482707308774,0.1260018027674908,-0.399153090377116,0.2179799228906631,0.1146775931119918,0.3616545122732336,0.1315128471365549,0.9670566852335216,0.5492847661850383,0.1004962126119563,0.1217118507408318,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,1,0.1,train_mean,top50_hvg,1200,12000,541,50,9.356356187595339e-08,,-0.1789633371047602,0.3447026908397674,0.2150669693946838,0.1727450927124263,0.02,0.98,0.5,0.0094772987409385,0.1086466666666666,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,1,0.1,train_mean,top200_hvg,1200,12000,541,200,5.699531515301893e-08,,-0.0682458066536418,0.2041359990835189,0.0894887074828147,0.2387775333714945,0.005,0.995,0.5,0.0023693246852346,0.0451466666666666,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,1,0.1,train_mean,marker_hvg_overlap,1200,12000,541,176,-3.74384630241753e-09,,-0.056639003155264,0.2066316306591034,0.0909853056073188,0.2302774970557627,0.0,1.0,0.5,0.0,0.0458058712121212,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,1,0.25,image,top50_hvg,3000,12000,541,50,0.3443527141353115,0.2892528027031495,-0.4381134784314781,0.3469208776950836,0.2251723110675811,0.40908154941995,0.4549721372899084,0.8847732598091533,0.6698726985495307,0.3384097147919652,0.330282061979553,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,1,0.25,image,top200_hvg,3000,12000,541,200,0.1676775150763978,0.1426945500163139,-0.2410528147371951,0.2075131833553314,0.1039963737130165,0.3856082610042575,0.1302083829859697,0.9691725218909596,0.5496904524384647,0.0998136835762888,0.1343396903503544,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,1,0.25,image,marker_hvg_overlap,3000,12000,541,176,0.1671465483437218,0.1440873046830194,-0.2298236447770085,0.2101276665925979,0.1054332479834556,0.3832739996859954,0.1277576484055268,0.97020313324693,0.5489803908262285,0.0991683026870339,0.132762025819515,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,1,0.25,train_mean,top50_hvg,3000,12000,541,50,-7.83945324034363e-08,,-0.1556354381934943,0.3442417085170746,0.2133939266204834,0.1756774299102516,0.0,1.0,0.5,0.0,0.1086466666666666,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,1,0.25,train_mean,top200_hvg,3000,12000,541,200,6.309238231860803e-09,,-0.0615058151810944,0.2039523720741272,0.0894129276275634,0.2399909680514363,0.0,1.0,0.5,0.0,0.0451466666666666,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,1,0.25,train_mean,marker_hvg_overlap,3000,12000,541,176,3.2251822298681983e-09,,-0.0515582518048218,0.2064581513404846,0.0909134969115257,0.2316069241766017,0.0,1.0,0.5,0.0,0.0458058712121212,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,1,1.0,image,top50_hvg,12000,12000,541,50,0.3593324788101018,0.2996307848650857,-0.3358859042823314,0.3403340280056,0.2198594808578491,0.4279058749423228,0.4623730679094767,0.8852473652446734,0.6738102165770751,0.3449801250966411,0.3388034452631846,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,1,1.0,image,top200_hvg,12000,12000,541,200,0.1874967235140502,0.158117465125092,-0.165175271097687,0.2036053985357284,0.0994773581624031,0.4037657951670829,0.1347497707382823,0.9689526404065504,0.5518512055724164,0.1029876341151711,0.1416821687725257,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,1,1.0,image,marker_hvg_overlap,12000,12000,541,176,0.1872407650225795,0.1599510179122076,-0.1592328756689147,0.2059909701347351,0.1010186374187469,0.4015722116201333,0.1314458623059555,0.9703260347976448,0.5508859485518002,0.1016465919015602,0.1405262815344622,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,1,1.0,train_mean,top50_hvg,12000,12000,541,50,-1.4778048509356268e-07,,-0.1597739182059012,0.3447456061840057,0.2144755274057388,0.1710628072647522,0.0,1.0,0.5,0.0,0.1086466666666666,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,1,1.0,train_mean,top200_hvg,12000,12000,541,200,-5.315636988800777e-08,,-0.0628879923196677,0.2041676640510559,0.0896940678358078,0.2378077990064712,0.0,1.0,0.5,0.0,0.0451466666666666,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,1,1.0,train_mean,marker_hvg_overlap,12000,12000,541,176,-4.737915545247808e-08,,-0.0523323023855756,0.206733152270317,0.0911899730563163,0.2290964274263172,0.0,1.0,0.5,0.0,0.0458058712121212,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,2,0.1,image,top50_hvg,1200,12000,541,50,0.320242565870285,0.2726543555481386,-0.6841565781878307,0.3557556867599487,0.2396786659955978,0.3939655832324417,0.4711527929625642,0.8659951749285334,0.6685739839455488,0.3389411790697811,0.3166424429491573,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,2,0.1,image,top200_hvg,1200,12000,541,200,0.1486531234526592,0.1289051389704933,-0.4162479785003233,0.2145213484764099,0.1150826960802078,0.3679615114389,0.1397202205322414,0.9635986151694232,0.5516594178508324,0.1057350425365998,0.1245385246684998,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,2,0.1,image,marker_hvg_overlap,1200,12000,541,176,0.1477914704108901,0.129730836426946,-0.3908110636786494,0.2166730761528015,0.1163043305277824,0.3673287481241202,0.1350620671447191,0.9643118806789588,0.5496869739118388,0.1022655397667053,0.1229182333086909,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,2,0.1,train_mean,top50_hvg,1200,12000,541,50,-2.6344113948084673e-08,,-0.2213821257548988,0.3462221026420593,0.2169883698225021,0.1601317779871174,0.02,0.98,0.5,0.0046486964206805,0.1086466666666666,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,2,0.1,train_mean,top200_hvg,1200,12000,541,200,-2.367527348930345e-08,,-0.0867604542603476,0.2049259096384048,0.0911793932318687,0.2308793842578899,0.005,0.995,0.5,0.0011621741051701,0.0451466666666666,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,2,0.1,train_mean,marker_hvg_overlap,1200,12000,541,176,-7.390031493922525e-08,,-0.070583319018872,0.2074404060840606,0.0924509391188621,0.222307436205201,0.0056818181818181,0.9943181818181818,0.5,0.0013206523922387,0.0458058712121212,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,2,0.25,image,top50_hvg,3000,12000,541,50,0.3469401913508773,0.2907710519702281,-0.4287313902936875,0.3492228388786316,0.2272100746631622,0.4154514781483502,0.4653880176060745,0.8800307679715681,0.6727093927888212,0.3441624905390839,0.3308767735358183,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,2,0.25,image,top200_hvg,3000,12000,541,200,0.1706318628718145,0.1458132370648805,-0.244246376507217,0.2089684158563614,0.1049028933048248,0.3906329909202932,0.1353219658736483,0.967364819489765,0.5513433926817066,0.1027976661225034,0.1341236952371955,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,2,0.25,image,marker_hvg_overlap,3000,12000,541,176,0.1709834155917633,0.1474917347834038,-0.236288727945066,0.2111782431602478,0.1064215824007988,0.3885545492108991,0.1331010874346082,0.9685210333277792,0.5508110603811937,0.1023800034835959,0.133530144156734,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,2,0.25,train_mean,top50_hvg,3000,12000,541,50,2.5571692903625374e-07,,-0.1555076966941123,0.3446552455425262,0.2137090116739273,0.1700623694815791,0.0,1.0,0.5,0.0,0.1086466666666666,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,2,0.25,train_mean,top200_hvg,3000,12000,541,200,1.1116661433607788e-08,,-0.0632131179388352,0.2041820883750915,0.0896855220198631,0.2365380309847276,0.0,1.0,0.5,0.0,0.0451466666666666,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,2,0.25,train_mean,marker_hvg_overlap,3000,12000,541,176,5.600928837138062e-08,,-0.0519345256595742,0.2067124396562576,0.0911640748381614,0.2279229279253871,0.0,1.0,0.5,0.0,0.0458058712121212,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,2,1.0,image,top50_hvg,12000,12000,541,50,0.3596576684340835,0.2999066758496467,-0.3227504966314882,0.3392888605594635,0.2187665551900863,0.4277232225847588,0.4607026454371767,0.8862863679327202,0.6734945066849485,0.3448337607677271,0.3385143413734763,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,2,1.0,image,top200_hvg,12000,12000,541,200,0.187524773098994,0.158133944962516,-0.1593283051921753,0.2030933797359466,0.0989611819386482,0.4036620452577976,0.1340372988318489,0.969264115519957,0.5516507071759029,0.1027733654866737,0.1414962487428438,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,2,1.0,image,marker_hvg_overlap,12000,12000,541,176,0.1872542201017495,0.1599416993846348,-0.1536579240260338,0.2054702192544937,0.1005207970738411,0.4014549079566197,0.1306740023416594,0.9706450218919572,0.5506595121168083,0.1013454393745843,0.1403649894926726,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,2,1.0,train_mean,top50_hvg,12000,12000,541,50,-1.4778048509356268e-07,,-0.1597739182059012,0.3447456061840057,0.2144755274057388,0.1710628072647522,0.0,1.0,0.5,0.0,0.1086466666666666,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,2,1.0,train_mean,top200_hvg,12000,12000,541,200,-5.315636988800777e-08,,-0.0628879923196677,0.2041676640510559,0.0896940678358078,0.2378077990064712,0.0,1.0,0.5,0.0,0.0451466666666666,normal_replication_1_to_2
conch,human,skin,HSDX009_2,HSDX009,2,1.0,train_mean,marker_hvg_overlap,12000,12000,541,176,-4.737915545247808e-08,,-0.0523323023855756,0.206733152270317,0.0911899730563163,0.2290964274263172,0.0,1.0,0.5,0.0,0.0458058712121212,normal_replication_1_to_2
conch,human,skin,HSPD012,HSDX009;HSDX009_2,0,0.1,image,top50_hvg,2400,12000,166,50,0.0964166199974715,0.0839932126175995,-0.177326756757684,0.4155153334140777,0.2192249447107315,0.1251882669950762,0.052799667510171,0.976407267539448,0.5146034675248095,0.0572005734984406,0.1956592493870503,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,0,0.1,image,top200_hvg,2400,12000,166,129,0.0753361740386473,0.0700753664189169,-0.1858438127852278,0.3459729552268982,0.1402739882469177,0.1442087787097903,0.0211198670040684,0.9908555300540496,0.5058413870099238,0.0228802293993762,0.1433251407460257,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,0,0.1,image,marker_hvg_overlap,2400,12000,166,103,0.0846294694352958,0.0788255539403435,-0.1353787374055438,0.3807731866836548,0.1707046777009964,0.1212869261479902,0.0256309065583354,0.9885472172521592,0.5070890619052473,0.0277672686885634,0.1703073415893992,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,0,0.1,train_mean,top50_hvg,2400,12000,166,50,-3.903053729459316e-07,,-0.089492578129284,0.4083379805088043,0.1937795728445053,0.1380548975415391,0.0,1.0,0.5,0.0,0.1393533333333333,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,0,0.1,train_mean,top200_hvg,2400,12000,166,129,-2.8735616551363576e-07,,-0.0839820117558556,0.3445823490619659,0.1241723671555519,0.1485140978673128,0.0,1.0,0.5,0.0,0.1054246666666666,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,0,0.1,train_mean,marker_hvg_overlap,2400,12000,166,103,-2.0835521640260173e-07,,-0.0979189531709265,0.3791637122631073,0.1512365043163299,0.1175955116875865,0.0,1.0,0.5,0.0,0.1240477346278317,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,0,0.25,image,top50_hvg,6000,12000,166,50,0.0931920565990731,0.0792659635148038,-0.1693743056000676,0.4114498496055603,0.2193941175937652,0.1284908843861724,0.0393560678736809,0.9816228893065164,0.5104894785900987,0.0435194716033748,0.1896898116251096,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,0,0.25,image,top200_hvg,6000,12000,166,129,0.0761517941147056,0.0704126294370997,-0.1362529881660593,0.3437055051326751,0.1389033049345016,0.1528788793102681,0.0157424271494723,0.9928770888784948,0.5041957914360394,0.0174077886413499,0.1408546516973443,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,0,0.25,image,marker_hvg_overlap,6000,12000,166,103,0.0834053706205947,0.0770092420107202,-0.12757602729326,0.378130704164505,0.1693641096353531,0.1259072460798961,0.0191048873173208,0.9910790724788916,0.5050919798981062,0.0211259570890169,0.1666867880914059,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,0,0.25,train_mean,top50_hvg,6000,12000,166,50,7.611070133606291e-07,,-0.0882272381568327,0.4077948629856109,0.1955601871013641,0.1392069488956631,0.0,1.0,0.5,0.0,0.1393533333333333,normal_to_melanoma_addon
