sample,pearson_gene_macro,ridge_pearson_gene_macro,f1_gene_macro,ridge_f1_gene_macro
FFHO026,0.36911379266995936,0.40211196038872,0.7449713115636571,0.7556787881807696
FFMB028,0.3612557755736634,0.4665753937140107,0.6740525427376413,0.7351904615252853
FFMC016,0.5956467317044735,0.614644556939602,0.7356864482501572,0.7437643699681317
HBCA041,0.4570082741230726,0.494332612529397,0.6540732236603083,0.7078677311342152
HBCD036,0.2937713764980435,0.3315007489174604,0.7433691100898299,0.7680483508445589
HBCH024,0.2149240915278835,0.2866005103476345,0.021062297627810974,0.07565762731174623
HBES040,0.3807422017911449,0.4193236746639013,0.6724265262370963,0.6785303724684215
HCCD035,0.40888677754090164,0.43076839915476733,0.5810615139706286,0.6234628267015437
HCCW027,0.147511801579385,0.17849267996381965,0.0186527474138119,0.025630173972471873
HHDX011,0.22561768739426039,0.2923984987294534,0.2405889826677809,0.3042830141003758
HKPD015,0.3456602685712277,0.40184172917157407,0.34180195406067415,0.46044227052676284
HLCD033,0.3032867324165999,0.36840741761960083,0.5194578987587894,0.5704229172058293
HLCX022,0.3000510354433208,0.3183553593466058,0.34389549069474457,0.3566292094497278
HLDX010,-0.0019411669582769001,-0.0022765174235974,0.32975855412407845,0.4000504867326033
HOCD032,0.28809990915295197,0.3123824998177588,0.2645233611554934,0.3893079214548501
HOCW023,0.15532668823696438,0.18788512323866594,0.07898745176012127,0.07780880647860841
HPDA034,0.3279755288215528,0.33098313535097984,0.33677974213332745,0.3856129023774776
HPXM007,0.3198966416157782,0.32374789777211843,0.28705776749421386,0.2745947444844741
HSDX009,0.2936749684115784,0.321354492905084,0.22422391551296506,0.26526462337572937
HSDX009_2,0.36325417330779597,0.3723561179783428,0.22804926357664423,0.26729243646102446
HSPD012,0.4586919807456434,0.4580475474410923,0.545472353590791,0.5726648124916649
HTDX008,0.23641450821189205,0.2938507235969883,0.2987438005639126,0.39895643298666805
MBDC037,0.059155839593140455,0.030064965690349502,0.24205228471847137,0.23979540340533628
PCHM006,0.29192847128957505,0.3662117096036672,0.6529914805348008,0.69377871817373
PDHL031,0.120680038514547,0.14064221194945273,0.02525760780490555,0.02331451460731325
PDHP030,0.2386916099023073,0.26266290977597234,0.10422170189742488,0.08279676073460043
PDHS029,0.23676628722673831,0.28378849530906164,0.3588254959349321,0.3686498706614492
WMPP017,0.40570929587935095,0.3966113352187676,0.49868827870300236,0.4955818914113023
WMPW025,0.23453347927919818,0.24601499880081973,0.22728500183246253,0.21870121584876398
XTNL005,0.3614499844843521,0.38986077458132057,0.35748895313391515,0.44392963806450014
