sample,method,pearson_gene_macro,spearman_gene_macro,pearson_cell_macro,f1_gene_macro
FFHO026,bleep_conch_adapter,0.36911379266995936,0.35579685196630834,0.5262938319201158,0.7449713115636571
FFMB028,bleep_conch_adapter,0.3612557755736634,0.3613055176047487,0.47420731616284073,0.6740525427376413
FFMC016,bleep_conch_adapter,0.5956467317044735,0.5725125181771139,0.7194018492238713,0.7356864482501572
HBCA041,bleep_conch_adapter,0.4570082741230726,0.4509736746409652,0.497600825410717,0.6540732236603083
HBCD036,bleep_conch_adapter,0.2937713764980435,0.22850104659587975,0.5812244109871927,0.7433691100898299
HBCH024,bleep_conch_adapter,0.2149240915278835,0.19767373903171262,0.11779644681913497,0.021062297627810974
HBES040,bleep_conch_adapter,0.3807422017911449,0.3794943120323804,0.48045700292638305,0.6724265262370963
HCCD035,bleep_conch_adapter,0.40888677754090164,0.39536005304006266,0.503142764591334,0.5810615139706286
HCCW027,bleep_conch_adapter,0.147511801579385,0.1357945232583924,0.18487140868350038,0.0186527474138119
HHDX011,bleep_conch_adapter,0.22561768739426039,0.2047341352164852,0.6615797153927148,0.2405889826677809
HKPD015,bleep_conch_adapter,0.3456602685712277,0.31783557488648034,0.41161788744993816,0.34180195406067415
HLCD033,bleep_conch_adapter,0.3032867324165999,0.259109117995331,0.39431288748218385,0.5194578987587894
HLCX022,bleep_conch_adapter,0.3000510354433208,0.29507261076263214,0.34909185536959797,0.34389549069474457
HLDX010,bleep_conch_adapter,-0.0019411669582769001,-0.003119706952472075,0.48948227446268905,0.32975855412407845
HOCD032,bleep_conch_adapter,0.28809990915295197,0.2801246486826555,0.3084731982597015,0.2645233611554934
HOCW023,bleep_conch_adapter,0.15532668823696438,0.14739540365703668,0.23982146214698935,0.07898745176012127
HPDA034,bleep_conch_adapter,0.3279755288215528,0.26860934063157044,0.403838909718536,0.33677974213332745
HPXM007,bleep_conch_adapter,0.3198966416157782,0.2619000930354237,0.4516790145702226,0.28705776749421386
HSDX009,bleep_conch_adapter,0.2936749684115784,0.2503702531909443,0.3716187826602548,0.22422391551296506
HSDX009_2,bleep_conch_adapter,0.36325417330779597,0.2985228628703068,0.41319642171570414,0.22804926357664423
HSPD012,bleep_conch_adapter,0.4586919807456434,0.37020250443688596,0.598588166516262,0.545472353590791
HTDX008,bleep_conch_adapter,0.23641450821189205,0.20367273522506538,0.4285699411542038,0.2987438005639126
MBDC037,bleep_conch_adapter,0.059155839593140455,0.09076738086342545,0.1411434998700999,0.24205228471847137
PCHM006,bleep_conch_adapter,0.29192847128957505,0.27679431649396247,0.4847323617106543,0.6529914805348008
PDHL031,bleep_conch_adapter,0.120680038514547,0.11319258189505103,0.11111290644962353,0.02525760780490555
PDHP030,bleep_conch_adapter,0.2386916099023073,0.2270366143976772,0.2113523245604505,0.10422170189742488
PDHS029,bleep_conch_adapter,0.23676628722673831,0.215359759354119,0.29385751271898525,0.3588254959349321
WMPP017,bleep_conch_adapter,0.40570929587935095,0.3051177885914099,0.581500097803394,0.49868827870300236
WMPW025,bleep_conch_adapter,0.23453347927919818,0.19532051783731225,0.34358538968822694,0.22728500183246253
XTNL005,bleep_conch_adapter,0.3614499844843521,0.2945468399661411,0.3191148724865486,0.35748895313391515
