sample,model,resolution_microns,pearson_gene_macro,spearman_gene_macro,pearson_cell_macro,f1_gene_macro,n_train_cells,n_test_cells
HHDX011,cell_image,0.0,0.299951192131266,0.2702497711199525,0.7104172456584367,0.2981872100177452,19569.5,5274.0
HHDX011,pseudo_spot_16um,16.0,0.29993275391403584,0.2702390067626343,0.7104158446727686,0.29818729402333005,19569.5,5274.0
HHDX011,pseudo_spot_55um,55.0,0.2997961790766567,0.26958794892850463,0.7100687921596474,0.3020532039807121,19569.5,5274.0
HHDX011,pseudo_spot_8um,8.0,0.2999511855281889,0.2702498323573511,0.71041731648774,0.2981872100177452,19569.5,5274.0
HLCX022,cell_image,0.0,0.3651968287862837,0.3589137859343199,0.44761244521457,0.3905214241268222,116433.0,32451.0
HLCX022,pseudo_spot_16um,16.0,0.3652146779093891,0.35893567093312406,0.44763406162934616,0.3913055877468048,116433.0,32451.0
HLCX022,pseudo_spot_55um,55.0,0.3614240583125502,0.35390663762365804,0.4448029842297036,0.4095817405572545,116433.0,32451.0
HLCX022,pseudo_spot_8um,8.0,0.36519692883826793,0.3589128381157075,0.44761488396477084,0.39054097569361673,116433.0,32451.0
