sample,encoder,method,seed,split_axis,split_side,gene_set,n_train,n_test,top_k,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro,ridge_pearson_gene_macro,ridge_f1_gene_macro,pearson_difference_bleep_minus_ridge,f1_difference_bleep_minus_ridge
HBCA041,conch,bleep_conch_adapter,0,x,high,top50_hvg,8813,2400,50,50,0.4760549384355545,0.4718004547128524,0.1606488374061882,0.655166506767273,0.5021874308586121,0.5176422182501982,0.7848133967064697,0.5639776760693828,0.6743955363879263,0.7089890748562359,0.7366386377551334,0.5022858363389969,0.7248492025976454,-0.026230897903442407,-0.015860127741409547
HBCA041,conch,bleep_conch_adapter,1,y,high,top50_hvg,8879,2400,50,50,0.4619977959990501,0.4539478584492799,0.1786782745830714,0.6329672336578369,0.4824970662593841,0.5003788944480306,0.7509280869236877,0.5781514818334819,0.6645397843785849,0.6770470804736345,0.6962837533330046,0.4925448521971702,0.6944191095955874,-0.030547056198120093,-0.017372029121952903
HBCA041,conch,bleep_conch_adapter,2,x,low,top50_hvg,8986,2400,50,50,0.4828572177886963,0.4710905022774984,0.2043024988111574,0.640222430229187,0.4893155395984649,0.5123732883187072,0.7560007277046422,0.5995766443091433,0.6777886860068928,0.6814809668036864,0.7209733754626232,0.5277825164794921,0.720508674270237,-0.04492529869079587,-0.0390277074665506
HBCA041,conch,bleep_conch_adapter,3,y,low,top50_hvg,8840,2400,50,50,0.4071231442689895,0.4070558831242302,-0.0270352330291643,0.7109212279319763,0.5146704912185669,0.4600089006259319,0.4823092466345201,0.7965811403904933,0.6394451935125066,0.5487757725076763,0.6985788935257226,0.4547172451019287,0.6916939380733911,-0.04759410083293919,-0.1429181655657148
HBCD036,conch,bleep_conch_adapter,0,x,high,top50_hvg,8983,2400,50,50,0.325954969227314,0.2534607264633589,0.0427409374248236,0.6978808641433716,0.5573803186416626,0.5670808412030484,0.8061134327415361,0.3045557134058267,0.5553345730736815,0.6750792844228484,0.684801449431826,0.3779149055480957,0.7582521015894979,-0.05195993632078172,-0.08317281716664948
HBCD036,conch,bleep_conch_adapter,1,y,high,top50_hvg,9041,2400,50,50,0.3354425373673439,0.2806734494658445,-0.0164778158441185,0.7401607632637024,0.5951293706893921,0.502423677753479,0.9363488671695638,0.2247147026384754,0.5805317849040196,0.7595456972796629,0.70818331470414,0.3657379078865051,0.7690781654269095,-0.030295370519161202,-0.00953246814724662
HBCD036,conch,bleep_conch_adapter,2,x,low,top50_hvg,8853,2400,50,50,0.2774247778952122,0.2098863004429326,-0.0633362293912796,0.7062333822250366,0.5673907995223999,0.606132243854184,0.9337575333796768,0.1900285156126108,0.5618930244961438,0.7869778237876507,0.7312860052042193,0.3211476738750934,0.7764455661177743,-0.043722895979881216,0.010532257669876421
HBCD036,conch,bleep_conch_adapter,3,y,low,top50_hvg,8990,2400,50,50,0.236263221502304,0.169983710011383,-0.0040880766883492,0.6558938026428223,0.5263161063194275,0.6492608811380596,0.8680369223164675,0.2433396005726404,0.555688261444554,0.7518736348691577,0.717769133905943,0.2612025083601474,0.7684175702440541,-0.024939286857843412,-0.0165439353748964
HBCH024,conch,bleep_conch_adapter,0,x,high,top50_hvg,9042,2400,50,50,0.2224202263644155,0.2356730458184119,-0.0331889555975794,0.2971890568733215,0.1166335269808769,0.11785172530251,0.0109227836481427,0.9980692203196896,0.5044960019839161,0.0181080133588787,0.2265634525044257,0.3122084994614124,0.0822959511435843,-0.08978827309699688,-0.0641879377847056
HBCH024,conch,bleep_conch_adapter,1,y,high,top50_hvg,8915,2400,50,50,0.1967354538512881,0.1752338882840984,-0.0158061593282036,0.182679682970047,0.0645634979009628,0.1454065157572625,0.0114329805432394,0.9985658043724271,0.5049993924578333,0.0109130873133392,0.1302665321878762,0.2900961673259735,0.0741642853439656,-0.09336071347468539,-0.0632511980306264
HBCH024,conch,bleep_conch_adapter,2,x,low,top50_hvg,8882,2400,50,50,0.1720416205562651,0.1672764412758375,-0.0293287282311939,0.1670706123113632,0.0410803221166133,0.0812238230468367,0.0030917137459719,0.9994572125976232,0.5012744631717976,0.0051283920468636,0.1156597474754381,0.2601222985982895,0.0698102297703434,-0.08808067804202441,-0.0646818377234798
HBCH024,conch,bleep_conch_adapter,3,y,low,top50_hvg,8978,2400,50,50,0.2684990653395653,0.2125115807485027,0.0483696330920793,0.1977402865886688,0.0702579617500305,0.1267037231699307,0.0405754970124667,0.9958437054450732,0.51820960122877,0.0500996977921624,0.1894486782370041,0.2839750760048627,0.0763600429890916,-0.015476010665297413,-0.026260345196929206
HBES040,conch,bleep_conch_adapter,0,x,high,top50_hvg,8950,2400,50,50,0.393618038315326,0.3891121147075938,0.0702727520652115,0.7040592432022095,0.568780779838562,0.4578341223175851,0.8387606771013238,0.3374329087713557,0.5880967929363399,0.6734691247618088,0.6742284066582583,0.426628885269165,0.6772826034693596,-0.03301084695383899,-0.003813478707550888
HBES040,conch,bleep_conch_adapter,1,y,high,top50_hvg,8989,2400,50,50,0.3890871877968311,0.3904156052919175,0.1233117222785949,0.6633829474449158,0.526755690574646,0.5065554112107115,0.7878808489823962,0.405476640066521,0.5966787445244586,0.6685019482487047,0.6788403717676539,0.4234019264578819,0.6866605541873925,-0.03431473866105078,-0.01815860593868779
HBES040,conch,bleep_conch_adapter,2,x,low,top50_hvg,8932,2400,50,50,0.357910781353712,0.3628072914917162,-0.0074522662721574,0.6885967254638672,0.5643381476402283,0.4638594246107235,0.8878743633753067,0.2438249045825326,0.5658496339789196,0.6699736619507223,0.6544370999529738,0.4085221901535988,0.6774369841846353,-0.05061140879988679,-0.0074633222339129945
HBES040,conch,bleep_conch_adapter,3,y,low,top50_hvg,9057,2400,50,50,0.3823527996987104,0.3756422366382939,-0.0543415673403069,0.6729808449745178,0.5273799896240234,0.4935790535665122,0.8110681379742478,0.4247997883704193,0.6179339631723334,0.6777613699871493,0.6617680445810109,0.4187416967749595,0.6727413480322987,-0.036388897076249094,0.005020021954850629
HCCD035,conch,bleep_conch_adapter,0,x,high,top50_hvg,8995,2400,50,50,0.3800112881697714,0.3671102827599177,0.0954587417282164,0.5519230365753174,0.420966625213623,0.4657398853308414,0.5962988114502245,0.6745107417917076,0.635404776620966,0.5640899347266094,0.6109007042740778,0.4113813163340091,0.5966123606941341,-0.03137002816423767,-0.03252242596752475
HCCD035,conch,bleep_conch_adapter,1,y,high,top50_hvg,8861,2400,50,50,0.3629620027542114,0.3414193748940248,0.0093018292961642,0.5627644062042236,0.4258112609386444,0.5155077648512447,0.5011006442619693,0.7210576795565367,0.6110791619092528,0.4941933799538596,0.6058068060356788,0.3975031529553234,0.6235642975448421,-0.03454115020111198,-0.12937091759098251
HCCD035,conch,bleep_conch_adapter,2,x,low,top50_hvg,8879,2400,50,50,0.4943835186958313,0.4822865656421621,0.1267439248226583,0.5753231644630432,0.4384585618972778,0.5198900780044037,0.8429378312715743,0.5266842488784199,0.684811040074997,0.676606431153821,0.6622150498689142,0.5185870444774627,0.6872752552689088,-0.02420352578163143,-0.010668824115087738
