encoder,model,pearson_gene_macro_mean,pearson_gene_macro_std,spearman_gene_macro_mean,spearman_gene_macro_std,r2_gene_macro_mean,r2_gene_macro_std,pearson_cell_macro_mean,pearson_cell_macro_std,f1_gene_macro_mean,f1_gene_macro_std,auprc_gene_macro_mean,auprc_gene_macro_std
conch,coordinate,0.01016802826314235,0.10212868548111445,0.0045808279153709205,0.0964953020833477,-0.22974660996333113,0.2882430470329137,0.6168804811246005,0.12762794770980085,0.16907825596330373,0.04517886650993971,0.3154887844416635,0.049298118967691595
conch,image,0.29239851849968546,0.01704096897044291,0.266428165530644,0.016371236834680492,0.0688623314959113,0.05617576041662562,0.6880709607746589,0.10134297654939302,0.3042830141003758,0.014037939090927952,0.4375157897260967,0.015572423902427402
conch,spatial_knn,0.020688948079405252,0.04896425451095451,0.015460810913292426,0.04315300332643759,-0.1854390699230134,0.08921260352518279,0.6189459351201138,0.13272658379232607,0.2406537949153091,0.02445706787005023,0.31908292141175315,0.027179142829501016
conch,train_mean,1.7718493329432765e-07,5.907011829868657e-07,,,-0.038889124312886394,0.04320584987825391,0.6441518175453027,0.13375343223441113,0.14040652806693688,0.01314465608820386,0.3111791666666667,0.020308894124386894
ctranspath,coordinate,0.010168023882833947,0.10212868010415876,0.004580836401080698,0.09649530251514606,-0.22974661889144044,0.2882430385940056,0.6168804799673444,0.1276279466566515,0.16907825596330373,0.04517886650993971,0.31548881107204385,0.04929812736683032
ctranspath,image,0.2592841220414266,0.018653697460343125,0.23678763215599097,0.018924320561240382,0.0465330223794444,0.07173084548356498,0.6868910701357043,0.10242070257986005,0.28710144372259494,0.02134732711126819,0.4190489760750028,0.016410627682009436
ctranspath,spatial_knn,0.020688948079405252,0.04896425451095451,0.015460810913292426,0.04315300332643759,-0.1854390699230134,0.08921260352518279,0.6189459351201138,0.13272658379232607,0.2406537949153091,0.02445706787005023,0.31908292141175315,0.027179142829501016
ctranspath,train_mean,1.7718493329432765e-07,5.907011829868657e-07,,,-0.038889124312886394,0.04320584987825391,0.6441518175453027,0.13375343223441113,0.14040652806693688,0.01314465608820386,0.3111791666666667,0.020308894124386894
hoptimus0,coordinate,0.01016802826314235,0.10212868548111445,0.0045808279153709205,0.0964953020833477,-0.22974660996333113,0.2882430470329137,0.6168804811246005,0.12762794770980085,0.16907825596330373,0.04517886650993971,0.3154887844416635,0.049298118967691595
hoptimus0,image,0.3068860954861157,0.022500637552248248,0.27126961777015385,0.023214346289728193,0.09385014576339012,0.04450022753396374,0.6988950397141391,0.10063120695003933,0.3141635547366479,0.019805518543251195,0.44525255759673593,0.014341108020662623
hoptimus0,spatial_knn,0.020688948079405252,0.04896425451095451,0.015460810913292426,0.04315300332643759,-0.1854390699230134,0.08921260352518279,0.6189459351201138,0.13272658379232607,0.2406537949153091,0.02445706787005023,0.31908292141175315,0.027179142829501016
hoptimus0,train_mean,1.7718493329432765e-07,5.907011829868657e-07,,,-0.038889124312886394,0.04320584987825391,0.6441518175453027,0.13375343223441113,0.14040652806693688,0.01314465608820386,0.3111791666666667,0.020308894124386894
phikon,coordinate,0.010168023882833947,0.10212868010415876,0.004580836401080698,0.09649530251514606,-0.22974661889144044,0.2882430385940056,0.6168804799673444,0.1276279466566515,0.16907825596330373,0.04517886650993971,0.31548881107204385,0.04929812736683032
phikon,image,0.27327743889996775,0.024905521611407626,0.24590565353465565,0.026213099077547864,0.059885020690053324,0.061752842475701814,0.6902245651918815,0.10504540531296958,0.29596514104413074,0.020395297406938333,0.4281518773547907,0.017503685075724945
phikon,spatial_knn,0.020688948079405252,0.04896425451095451,0.015460810913292426,0.04315300332643759,-0.1854390699230134,0.08921260352518279,0.6189459351201138,0.13272658379232607,0.2406537949153091,0.02445706787005023,0.31908292141175315,0.027179142829501016
