sample,model,resolution_microns,pearson_gene_macro,spearman_gene_macro,pearson_cell_macro,f1_gene_macro
FFHO026,cell_image,0.0,0.40211196038872,0.3905017434876045,0.5591710453710312,0.7556787881807696
FFHO026,pseudo_spot_16um,16.0,0.40197398450225585,0.3904046894723831,0.5593355721314006,0.7555230920456699
FFHO026,pseudo_spot_55um,55.0,0.3939562302827835,0.3821758825254893,0.5574882128100378,0.7546195151175653
FFHO026,pseudo_spot_8um,8.0,0.40215639527887104,0.39056285135096,0.5592279924155414,0.755660972018371
FFMB028,cell_image,0.0,0.4665753937140107,0.4629417655826925,0.5303552847439182,0.7351904615252853
FFMB028,pseudo_spot_16um,16.0,0.457130527049303,0.4535718592960498,0.5291895735806985,0.7343300713267555
FFMB028,pseudo_spot_55um,55.0,0.3549344094097614,0.35123724091833713,0.5185512773668417,0.7205020722507445
FFMB028,pseudo_spot_8um,8.0,0.46583275493234394,0.46223455054638124,0.5306892171810776,0.7353482696944358
HBCH024,cell_image,0.0,0.2866005103476345,0.22435347668290112,0.22177866340650526,0.07565762731174623
HBCH024,pseudo_spot_16um,16.0,0.2859072067588568,0.22396617585179843,0.22212718389444092,0.07524777871454608
HBCH024,pseudo_spot_55um,55.0,0.2751269483193755,0.21863671251624142,0.21796512131495904,0.07323037973485493
HBCH024,pseudo_spot_8um,8.0,0.28639101766049857,0.22424662874995413,0.22201399784013356,0.07553532180256753
HLCX022,cell_image,0.0,0.3183553593466058,0.30907401424183556,0.3730314484799746,0.3566292094497278
HLCX022,pseudo_spot_16um,16.0,0.317077840892598,0.3072417083202044,0.3718733627783129,0.357282317610808
HLCX022,pseudo_spot_55um,55.0,0.2611930218478664,0.256166673482496,0.3359909697248917,0.30124188319018796
HLCX022,pseudo_spot_8um,8.0,0.31884972289670255,0.3094471578407039,0.3727809663704403,0.3581313435435082
HSDX009,cell_image,0.0,0.321354492905084,0.2630302954664584,0.3991597087482853,0.26526462337572937
HSDX009,pseudo_spot_16um,16.0,0.3201900498080067,0.26241169092239164,0.3979384873144811,0.2667516364708261
HSDX009,pseudo_spot_55um,55.0,0.30238037267175966,0.25588026526721874,0.3919731467986602,0.25529643561520166
HSDX009,pseudo_spot_8um,8.0,0.321439793495083,0.26303036119826917,0.39939147495384025,0.26566458945631
WMPP017,cell_image,0.0,0.3966113352187676,0.3102827564593623,0.5717996772524522,0.4955818914113023
WMPP017,pseudo_spot_16um,16.0,0.39673259712057185,0.3102786404072385,0.572000781190823,0.495907268089174
WMPP017,pseudo_spot_55um,55.0,0.39230676342267545,0.3056408071795514,0.570786386983607,0.4923272673910314
WMPP017,pseudo_spot_8um,8.0,0.3965617871470749,0.31026302272512435,0.5716775514799544,0.495453191197543
