cell_type,n_cells,model,pseudobulk_pearson,pseudobulk_rmse_log1p,sample,encoder,seed,ratio,n_genes,species,organ,condition
goblet cell.,30,image,0.9318543672561646,0.1837643831968307,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
goblet cell.,30,spatial_knn,0.9359995126724244,0.2908200025558471,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
intestinal epithelial cell.,103,train_mean,0.8662289977073669,0.3238299787044525,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
intestinal epithelial cell.,103,coordinate,0.8304763436317444,0.42349973320961,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
intestinal epithelial cell.,103,image,0.9361729621887208,0.1866430044174194,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
intestinal epithelial cell.,103,spatial_knn,0.937156617641449,0.2851032018661499,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
macrophage.,268,train_mean,0.6701310276985168,0.2800404727458954,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
macrophage.,268,coordinate,0.4509865641593933,0.3608714342117309,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
macrophage.,268,image,0.7352302670478821,0.2454287558794021,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
macrophage.,268,spatial_knn,0.593410849571228,0.3090388178825378,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
monocyte.,20,train_mean,0.7104294300079346,0.2884795069694519,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
monocyte.,20,coordinate,0.4399087131023407,0.4231778681278229,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
monocyte.,20,image,0.726759135723114,0.2880704700946808,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
monocyte.,20,spatial_knn,0.6673324108123779,0.3085263967514038,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
neutrophil.,30,train_mean,0.8246316313743591,0.2158992439508438,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
neutrophil.,30,coordinate,0.627254843711853,0.2482684105634689,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
neutrophil.,30,image,0.8674078583717346,0.2297553271055221,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
neutrophil.,30,spatial_knn,0.7950177788734436,0.1954250037670135,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
plasma cell.,29,train_mean,0.5522063374519348,0.3286709487438202,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
plasma cell.,29,coordinate,0.4562955200672149,0.3386818766593933,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
plasma cell.,29,image,0.6136932969093323,0.2755898535251617,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
plasma cell.,29,spatial_knn,0.4912039637565613,0.3200428485870361,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
smooth muscle cell.,23,train_mean,0.7565515637397766,0.2503107190132141,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
smooth muscle cell.,23,coordinate,0.5987204313278198,0.2695389688014984,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
smooth muscle cell.,23,image,0.8841899633407593,0.1415773183107376,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
smooth muscle cell.,23,spatial_knn,0.6353352665901184,0.2428158074617386,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
stromal cell.,123,train_mean,0.7113724946975708,0.3357381820678711,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
stromal cell.,123,coordinate,0.5545427799224854,0.2734909653663635,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
stromal cell.,123,image,0.9049456119537354,0.1031914949417114,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
stromal cell.,123,spatial_knn,0.6081135869026184,0.3127074241638183,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
T cell.,43,train_mean,0.668679416179657,0.2817999124526977,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
T cell.,43,coordinate,0.6620187163352966,0.296588271856308,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
T cell.,43,image,0.7083042860031128,0.26116743683815,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
T cell.,43,spatial_knn,0.6568142771720886,0.2803020179271698,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
cultured cell.,218,train_mean,0.9317321181297302,0.2192152291536331,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
cultured cell.,218,coordinate,0.9035851955413818,0.226175457239151,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
cultured cell.,218,image,0.9784496426582336,0.1041566655039787,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
cultured cell.,218,spatial_knn,0.941794753074646,0.1881222277879715,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell of vascular tree.,239,train_mean,0.9145660996437072,0.1852147728204727,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell of vascular tree.,239,coordinate,0.925383687019348,0.2070493400096893,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell of vascular tree.,239,image,0.9546193480491638,0.0978396460413932,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell of vascular tree.,239,spatial_knn,0.9436692595481871,0.1066852957010269,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell.,337,train_mean,0.923413097858429,0.146311730146408,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell.,337,coordinate,0.9613080024719238,0.143839418888092,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell.,337,image,0.9727726578712464,0.0658574402332305,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell.,337,spatial_knn,0.941958487033844,0.1160025894641876,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of lower respiratory tract.,460,train_mean,0.955925464630127,0.2152859717607498,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of lower respiratory tract.,460,coordinate,0.9052694439888,0.2349135875701904,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of lower respiratory tract.,460,image,0.9853108525276184,0.1025294288992881,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of lower respiratory tract.,460,spatial_knn,0.9491437673568726,0.2158461660146713,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of proximal tubule.,25,train_mean,0.9278752207756042,0.4130216538906097,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of proximal tubule.,25,coordinate,0.8462512493133545,0.4301414787769317,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of proximal tubule.,25,image,0.9534945487976074,0.2733136415481567,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of proximal tubule.,25,spatial_knn,0.9050270318984984,0.4185765981674194,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell.,182,train_mean,0.9619561433792114,0.1965821236371994,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell.,182,coordinate,0.918414294719696,0.2118011862039566,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell.,182,image,0.9859920740127563,0.0864811986684799,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell.,182,spatial_knn,0.9457820057868958,0.2085305750370025,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
fibroblast.,227,train_mean,0.6254509091377258,0.344595193862915,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
fibroblast.,227,coordinate,0.8301963210105896,0.2449679672718048,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
fibroblast.,227,image,0.8969094753265381,0.2393751144409179,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
fibroblast.,227,spatial_knn,0.8649093508720398,0.2447588443756103,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
intestinal epithelial cell.,41,train_mean,0.9027100801467896,0.3220148980617523,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
intestinal epithelial cell.,41,coordinate,0.8999008536338806,0.3104002177715301,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
intestinal epithelial cell.,41,image,0.9588310718536376,0.1815817058086395,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
intestinal epithelial cell.,41,spatial_knn,0.9411544799804688,0.2596742212772369,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
macrophage.,269,train_mean,0.6479123830795288,0.291258305311203,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
macrophage.,269,coordinate,0.6799195408821106,0.2849455773830414,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
macrophage.,269,image,0.726567804813385,0.2490637153387069,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
macrophage.,269,spatial_knn,0.6516835689544678,0.2812394797801971,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
monocyte.,29,train_mean,0.6248674988746643,0.2990380823612213,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
monocyte.,29,coordinate,0.6496632099151611,0.2979809939861297,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
monocyte.,29,image,0.6897860765457153,0.2676795423030853,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
monocyte.,29,spatial_knn,0.6367754340171814,0.2885632216930389,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
neutrophil.,38,train_mean,0.8275294899940491,0.1957236975431442,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
neutrophil.,38,coordinate,0.8269268870353699,0.2071495056152343,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
neutrophil.,38,image,0.8555817604064941,0.2035649269819259,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
neutrophil.,38,spatial_knn,0.8250395059585571,0.1875264644622802,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
plasma cell.,27,train_mean,0.5937135219573975,0.3431198596954345,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
plasma cell.,27,coordinate,0.606932520866394,0.3410019874572754,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
plasma cell.,27,image,0.6537516713142395,0.3189194202423095,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
plasma cell.,27,spatial_knn,0.5531213283538818,0.3688653707504272,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
smooth muscle cell.,41,train_mean,0.6764921545982361,0.3010706901550293,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
smooth muscle cell.,41,coordinate,0.8049939274787903,0.2459728866815567,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
smooth muscle cell.,41,image,0.8851125240325928,0.2093265950679779,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
smooth muscle cell.,41,spatial_knn,0.8329219222068787,0.2286588996648788,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
stromal cell.,102,train_mean,0.7001149654388428,0.3077930212020874,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
stromal cell.,102,coordinate,0.7771580815315247,0.3141787052154541,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
stromal cell.,102,image,0.9065003991127014,0.1174758598208427,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
stromal cell.,102,spatial_knn,0.8009045720100403,0.2228712141513824,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
T cell.,39,train_mean,0.6796355247497559,0.2888164222240448,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
T cell.,39,coordinate,0.6756451725959778,0.4391983449459076,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
T cell.,39,image,0.7420523166656494,0.2156615257263183,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
T cell.,39,spatial_knn,0.7245945930480957,0.3463798761367798,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
cultured cell.,54,train_mean,0.9436770677566528,0.1536100655794143,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
cultured cell.,54,coordinate,0.9032843112945556,0.221359521150589,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
cultured cell.,54,image,0.9575619101524352,0.1246945410966873,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
cultured cell.,54,spatial_knn,0.8918317556381226,0.1845123171806335,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell of vascular tree.,209,train_mean,0.956390917301178,0.1151093915104866,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell of vascular tree.,209,coordinate,0.926704168319702,0.2933104634284973,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell of vascular tree.,209,image,0.971568524837494,0.0802025571465492,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell of vascular tree.,209,spatial_knn,0.9443609118461608,0.2051097303628921,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell.,350,train_mean,0.9081405401229858,0.1626312732696533,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell.,350,coordinate,0.907179355621338,0.3241958022117615,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell.,350,image,0.9792409539222716,0.0594051666557788,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell.,350,spatial_knn,0.9320162534713744,0.2369646281003952,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of lower respiratory tract.,412,train_mean,0.9575568437576294,0.1878313273191452,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of lower respiratory tract.,412,coordinate,0.9250342845916748,0.1903107166290283,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of lower respiratory tract.,412,image,0.9676735997200012,0.1388932466506958,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of lower respiratory tract.,412,spatial_knn,0.9212003350257874,0.1794387549161911,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of proximal tubule.,33,train_mean,0.9253699779510498,0.2441146671772003,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of proximal tubule.,33,coordinate,0.9070085883140564,0.2125280201435089,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of proximal tubule.,33,image,0.938208281993866,0.1988183259963989,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of proximal tubule.,33,spatial_knn,0.9073593020439148,0.2162755280733108,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell.,177,train_mean,0.9575777053833008,0.2048984766006469,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell.,177,coordinate,0.947498381137848,0.1535085290670395,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell.,177,image,0.9766417145729064,0.1242293342947959,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell.,177,spatial_knn,0.9311766028404236,0.1776785552501678,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
fibroblast.,521,train_mean,0.6016252636909485,0.3531326651573181,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
fibroblast.,521,coordinate,0.6297080516815186,0.4349843561649322,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
fibroblast.,521,image,0.9118825793266296,0.2701644897460937,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
fibroblast.,521,spatial_knn,0.6496338248252869,0.3631046116352081,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
macrophage.,302,train_mean,0.6233633160591125,0.2991815507411957,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
