contrast,pearson_gene_macro_mean,pearson_gene_macro_std,spearman_gene_macro_mean,spearman_gene_macro_std,pearson_cell_macro_mean,pearson_cell_macro_std,f1_gene_macro_mean,f1_gene_macro_std
melanoma_to_normal_1,0.07662343787495046,0.0015435528617894366,0.07362312261856346,0.0013189229381926854,0.2637887836922567,0.003725651267975365,0.06296493413371577,0.00028405346150175856
melanoma_to_normal_2,0.06509813711532234,0.0012943791248989519,0.061944680160127996,0.0010841266480448625,0.2382598825100216,0.005089197485462338,0.051358544310542466,0.00043838617409934304
normal_replication_1_to_2,0.35943165940543015,0.00019621712848547966,0.29954349762245813,0.0004137853470859206,0.4276768938258663,0.00025531767766731405,0.3448789892175326,8.774884434033585e-05
normal_to_melanoma_addon,0.09415499446525544,0.0033085415403391848,0.07806545220998277,0.0027608286160936955,0.11401629816225417,0.0029842339680524353,0.0370287920395102,0.0005703231631999102
normal_to_melanoma_prime,0.06309976142346076,0.0016366838398427803,0.05602537663226443,0.0016353525563502557,0.07434039431769514,0.0026321494932970003,0.016816029082631533,0.0007073290733033563
