dataset_name,example_id,fraction_without_canonical_bins,median_abs_umi_relative_change_dilate_1um,median_abs_umi_relative_change_erode_1um,median_abs_umi_relative_change_shift_x_1um,median_abs_umi_relative_change_shift_y_1um,median_bin_jaccard_dilate_1um,median_bin_jaccard_erode_1um,median_bin_jaccard_shift_x_1um,median_bin_jaccard_shift_y_1um,median_bins_canonical_assigned,median_expression_cosine_dilate_1um,median_expression_cosine_erode_1um,median_expression_cosine_shift_x_1um,median_expression_cosine_shift_y_1um,n_cells_audited,n_cells_reservoir,n_cells_streamed,n_cells_with_canonical_bins,p05_bin_jaccard_dilate_1um,p05_bin_jaccard_erode_1um,p05_bin_jaccard_shift_x_1um,p05_bin_jaccard_shift_y_1um,seed
Visium_HD_Human_Lung_Cancer_Fixed_Frozen,d,0.5056666666666667,0.6095890410958904,0.5102040816326531,0.11349693251533742,0.1111111111111111,0.6216216216216216,0.5,0.7272727272727273,0.7333333333333333,12.0,0.9381941874331419,0.8767323822514776,0.953776176686811,0.9565330177326544,3000,3000,325262,1483,0.42857142857142855,0.0,0.5,0.526625386996904,20260723
Visium_HD_Mouse_Brain_Fixed_Frozen,e,0.024666666666666667,0.37251322333622794,0.3283235691753042,0.060299539986541945,0.06080372825655844,0.7196491228070175,0.6666666666666666,0.8064516129032258,0.8157894736842105,24.0,0.9059139538441461,0.8709215573217379,0.9359631463026745,0.939202840812809,3000,3000,52491,2926,0.5333333333333333,0.4,0.625,0.6428571428571429,20260723
Visium_HD_Human_Pancreas_FFPE,g,0.5003333333333333,0.6655052264808362,0.5480427046263345,0.13728813559322034,0.1298904538341158,0.6,0.46153846153846156,0.7058823529411765,0.7142857142857143,9.0,0.9928936317961855,0.9812238460534605,0.9940120655618925,0.9943713278197901,3000,3000,88120,1499,0.38461538461538464,0.0,0.45454545454545453,0.5,20260723
